,LSOA21 code,IMD score,IMD decile
13106,E01013797,3.187,10
26223,E01027624,3.189,10
27995,E01029507,3.19,10
15820,E01016657,3.19,10
16710,E01017606,3.191,10
20997,E01022109,3.192,10
13725,E01014453,3.192,10
16890,E01017798,3.193,10
29111,E01030671,3.196,10
14131,E01014885,3.196,10
7952,E01008357,3.196,10
25035,E01026362,3.196,10
22063,E01023242,3.198,10
27965,E01029474,3.198,10
15602,E01016427,3.199,10
22518,E01023715,3.2,10
20496,E01021580,3.201,10
10235,E01010768,3.203,10
28887,E01030443,3.205,10
31436,E01033244,3.206,10
18824,E01019833,3.207,10
5821,E01006139,3.208,10
23677,E01024950,3.208,10
7572,E01007961,3.211,10
24866,E01026184,3.212,10
28146,E01029662,3.217,10
29551,E01031124,3.219,10
22100,E01023279,3.219,10
30965,E01032626,3.219,10
17349,E01018295,3.22,10
22613,E01023815,3.22,10
12707,E01013379,3.222,10
27350,E01028820,3.223,10
14221,E01014980,3.223,10
14159,E01014913,3.224,10
5816,E01006134,3.224,10
22394,E01023588,3.225,10
27236,E01028695,3.226,10
15716,E01016548,3.23,10
27197,E01028655,3.231,10
21002,E01022114,3.232,10
15856,E01016701,3.233,10
28621,E01030166,3.234,10
28786,E01030338,3.238,10
14028,E01014776,3.239,10
20157,E01021228,3.242,10
27968,E01029477,3.242,10
20824,E01021929,3.246,10
31028,E01032700,3.247,10
31233,E01032973,3.248,10
3648,E01003825,3.249,10
25827,E01027203,3.25,10
29328,E01030891,3.251,10
16557,E01017438,3.253,10
22319,E01023510,3.253,10
29397,E01030961,3.254,10
22478,E01023673,3.255,10
780,E01000813,3.255,10
10903,E01011461,3.256,10
5785,E01006103,3.257,10
26952,E01028389,3.257,10
18426,E01019427,3.258,10
24530,E01025832,3.26,10
5763,E01006081,3.265,10
22097,E01023276,3.267,10
5615,E01005932,3.269,10
14227,E01014987,3.269,10
14735,E01015518,3.272,10
21376,E01022511,3.272,10
16971,E01017881,3.274,10
19431,E01020470,3.275,10
18679,E01019686,3.276,10
15453,E01016270,3.279,10
26929,E01028365,3.281,10
30955,E01032616,3.282,10
27746,E01029244,3.282,10
23222,E01024469,3.287,10
12703,E01013375,3.291,10
27494,E01028972,3.296,10
23549,E01024817,3.296,10
16977,E01017887,3.298,10
28239,E01029759,3.299,10
22190,E01023374,3.299,10
23089,E01024326,3.303,10
17727,E01018693,3.303,10
20536,E01021624,3.306,10
22459,E01023654,3.307,10
15789,E01016623,3.309,10
20556,E01021645,3.312,10
28192,E01029709,3.312,10
27239,E01028698,3.315,10
12430,E01013088,3.316,10
5834,E01006152,3.317,10
676,E01000707,3.318,10
19115,E01020144,3.321,10
2144,E01002254,3.323,10
25892,E01027272,3.323,10
15863,E01016708,3.325,10
20395,E01021474,3.325,10
3956,E01004157,3.327,10
17531,E01018490,3.331,10
7477,E01007861,3.332,10
28227,E01029747,3.333,10
15414,E01016228,3.335,10
29228,E01030789,3.335,10
15116,E01015914,3.336,10
726,E01000758,3.339,10
29325,E01030888,3.339,10
2780,E01002924,3.339,10
15604,E01016429,3.34,10
13107,E01013798,3.341,10
15824,E01016661,3.342,10
26918,E01028354,3.343,10
28843,E01030398,3.347,10
29210,E01030771,3.348,10
20304,E01021379,3.351,10
14212,E01014969,3.351,10
15415,E01016229,3.353,10
17441,E01018392,3.354,10
13748,E01014477,3.356,10
29530,E01031101,3.36,10
9347,E01009859,3.36,10
21593,E01022745,3.36,10
22324,E01023515,3.362,10
28817,E01030370,3.367,10
17302,E01018244,3.368,10
13878,E01014615,3.368,10
17651,E01018614,3.368,10
7563,E01007952,3.37,10
17461,E01018414,3.371,10
28956,E01030512,3.372,10
9678,E01010198,3.372,10
22223,E01023408,3.373,10
29564,E01031139,3.375,10
22502,E01023698,3.376,10
17705,E01018671,3.377,10
25829,E01027205,3.379,10
14729,E01015512,3.379,10
14210,E01014967,3.381,10
22649,E01023852,3.383,10
31562,E01033425,3.383,10
7249,E01007619,3.384,10
28924,E01030480,3.387,10
25572,E01026927,3.39,10
11676,E01012302,3.391,10
18364,E01019362,3.393,10
18868,E01019880,3.394,10
31655,E01033551,3.396,10
30963,E01032624,3.398,10
26273,E01027675,3.4,10
22300,E01023489,3.404,10
27124,E01028573,3.404,10
7448,E01007826,3.408,10
5612,E01005929,3.411,10
24163,E01025454,3.412,10
16872,E01017780,3.412,10
12684,E01013354,3.412,10
21365,E01022498,3.413,10
26928,E01028364,3.414,10
17454,E01018407,3.416,10
22231,E01023416,3.416,10
16959,E01017868,3.421,10
21384,E01022519,3.424,10
18249,E01019241,3.424,10
5819,E01006137,3.426,10
22256,E01023441,3.429,10
8942,E01009429,3.431,10
7966,E01008371,3.434,10
24977,E01026303,3.438,10
15693,E01016525,3.438,10
15719,E01016551,3.44,10
10994,E01011564,3.445,10
29334,E01030897,3.446,10
21401,E01022537,3.448,10
10161,E01010693,3.449,10
28943,E01030499,3.451,10
17548,E01018507,3.454,10
26932,E01028368,3.455,10
10165,E01010697,3.461,10
17049,E01017964,3.461,10
26709,E01028135,3.465,10
3708,E01003886,3.466,10
15113,E01015911,3.466,10
10238,E01010771,3.468,10
21339,E01022470,3.468,10
21687,E01022849,3.468,10
30251,E01031864,3.47,10
30715,E01032364,3.47,10
29712,E01031295,3.471,10
7565,E01007954,3.471,10
13679,E01014405,3.473,10
8202,E01008619,3.475,10
14627,E01015401,3.476,10
25913,E01027295,3.476,10
29336,E01030899,3.477,10
21512,E01022661,3.478,10
21637,E01022791,3.485,10
14070,E01014822,3.486,10
14542,E01015315,3.49,10
666,E01000697,3.492,10
20830,E01021935,3.492,10
22333,E01023526,3.493,10
8009,E01008420,3.493,10
29305,E01030868,3.493,10
13972,E01014715,3.495,10
14190,E01014944,3.495,10
29201,E01030762,3.497,10
30114,E01031718,3.498,10
28819,E01030372,3.502,10
12450,E01013108,3.503,10
23460,E01024718,3.505,10
31654,E01033550,3.505,10
21942,E01023112,3.506,10
15251,E01016054,3.507,10
16796,E01017700,3.509,10
23746,E01025019,3.51,10
22268,E01023455,3.511,10
28514,E01030050,3.518,10
22624,E01023826,3.519,10
27345,E01028815,3.519,10
27196,E01028654,3.522,10
16140,E01016998,3.522,10
23220,E01024467,3.523,10
28756,E01030308,3.523,10
23743,E01025016,3.525,10
12396,E01013054,3.527,10
21719,E01022884,3.527,10
14522,E01015295,3.529,10
15751,E01016583,3.53,10
29213,E01030774,3.53,10
28891,E01030447,3.53,10
15033,E01015830,3.533,10
20126,E01021194,3.535,10
20635,E01021736,3.536,10
11877,E01012513,3.536,10
14684,E01015459,3.537,10
11854,E01012489,3.538,10
16891,E01017799,3.539,10
15846,E01016689,3.542,10
653,E01000684,3.543,10
17626,E01018588,3.543,10
9676,E01010196,3.544,10
30134,E01031739,3.544,10
16526,E01017404,3.544,10
17312,E01018256,3.545,10
21825,E01022995,3.545,10
30135,E01031740,3.546,10
12747,E01013420,3.546,10
18912,E01019931,3.547,10
17074,E01017996,3.547,10
17336,E01018282,3.548,10
20172,E01021243,3.548,10
16850,E01017757,3.548,10
21732,E01022898,3.553,10
25973,E01027357,3.558,10
18943,E01019963,3.561,10
15601,E01016426,3.562,10
29237,E01030798,3.563,10
25649,E01027015,3.564,10
12766,E01013439,3.564,10
29246,E01030807,3.567,10
4358,E01004599,3.568,10
29724,E01031307,3.57,10
11843,E01012477,3.57,10
28888,E01030444,3.575,10
10824,E01011376,3.576,10
16874,E01017782,3.577,10
29431,E01030999,3.579,10
30107,E01031710,3.582,10
16973,E01017883,3.582,10
12705,E01013377,3.582,10
23206,E01024453,3.585,10
2041,E01002146,3.585,10
20525,E01021612,3.587,10
15783,E01016617,3.589,10
13376,E01014090,3.589,10
17293,E01018235,3.592,10
9666,E01010186,3.592,10
